代码,中文名,来源接口数,来源接口列表,查询时间
880742.SH,固态电池,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880743.SH,物业管理概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880744.SH,汽车拆解,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880745.SH,NMN概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880746.SH,国资云,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880747.SH,AI医疗概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880748.SH,元宇宙概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880749.SH,云游戏,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880750.SH,天然气,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880751.SH,昨日跌停,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880752.SH,昨曾跌停,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880753.SH,绿色电力,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880754.SH,培育钻石,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880755.SH,钠电池,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880756.SH,机构吸筹,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880757.SH,冷链物流,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880758.SH,汽车芯片,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880759.SH,换电概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880760.SH,预制菜,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880761.SH,锂矿,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880762.SH,信创,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880763.SH,自由现金流,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880764.SH,鸡肉,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880765.SH,海洋经济,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880766.SH,幽门螺杆菌,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880767.SH,电子纸,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880769.SH,股权集中,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880770.SH,昨日上榜,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880771.SH,MSCI中盘,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880774.SH,昨日首板,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880778.SH,次新预增,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880779.SH,高融资盘,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880780.SH,融资增加,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880781.SH,QFII新进,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880782.SH,保险新进,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880783.SH,社保新进,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880784.SH,昨日较弱,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880785.SH,最近多板,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880786.SH,海外业务,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880787.SH,高商誉,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880789.SH,昨成交20,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880790.SH,高负债率,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880791.SH,网红经济,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880792.SH,基金增仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880793.SH,基金减仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880794.SH,远程办公,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880795.SH,口罩防护,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880796.SH,医废处理,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880797.SH,虫害防治,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880798.SH,超级电容,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880799.SH,数据中心,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880801.SH,基金重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880802.SH,QFII重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880803.SH,券商重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880804.SH,信托重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880805.SH,保险重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880806.SH,社保重仓,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880807.SH,股东增持,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880808.SH,股东减持,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880809.SH,基金独门,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880812.SH,昨日连板,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880813.SH,并购重组预案,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880814.SH,拟增持,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880815.SH,拟减持,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880816.SH,密集调研,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880817.SH,商誉减值,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880818.SH,通达信热股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880821.SH,大盘股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880822.SH,昨收活跃,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880823.SH,微盘股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880824.SH,高市盈率,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880825.SH,预计转亏,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880826.SH,低市盈率,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880827.SH,高市净率,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880829.SH,低市净率,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880833.SH,亏损股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880834.SH,微利股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880835.SH,绩优股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880836.SH,配股股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880837.SH,活跃股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880842.SH,业绩预升,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880843.SH,业绩预降,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880844.SH,预计扭亏,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880845.SH,高股息股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880846.SH,破净资产,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880847.SH,行业龙头,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880848.SH,被举牌,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880849.SH,回购计划,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880850.SH,定增预案,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880851.SH,已高送转,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880852.SH,参股新股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880853.SH,中字头,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880854.SH,预高送转,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880856.SH,定增股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880857.SH,证金汇金持股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880858.SH,国开持股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880859.SH,员工持股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880860.SH,扣非亏损,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880861.SH,连续亏损,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880863.SH,昨日涨停,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880864.SH,昨日振荡,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880865.SH,近期新高,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880866.SH,近期新低,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880867.SH,昨高换手,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880868.SH,高贝塔值,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880869.SH,股权转让,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880870.SH,两年新股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880871.SH,股权分散,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880872.SH,近期复牌,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880873.SH,个人持股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880874.SH,昨曾涨停,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880875.SH,中小银行,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880876.SH,户数增加,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880877.SH,户数减少,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880878.SH,百元股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880879.SH,低价股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880880.SH,近期强势,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880881.SH,近期弱势,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880882.SH,久不分红,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880883.SH,MSCI成份,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880884.SH,最近异动,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880885.SH,近端次新,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880886.SH,昨日较强,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880887.SH,次新超跌,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880889.SH,不活跃股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880890.SH,配股预案,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880891.SH,破发行价,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880892.SH,高质押股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880893.SH,送转超跌,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880894.SH,养老金持股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880895.SH,持续增长,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880896.SH,风险提示,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880897.SH,即将解禁,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880898.SH,近已解禁,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880899.SH,钴金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880901.SH,信息安全,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880902.SH,特斯拉概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880903.SH,水产品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880904.SH,机器人概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880905.SH,超导概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880906.SH,智能家居,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880908.SH,职业教育,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880909.SH,燃料电池,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880910.SH,草甘膦,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880911.SH,雄安新区,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880912.SH,外骨骼机器人,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880913.SH,基因概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880914.SH,军贸概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880915.SH,昨日突涨,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880916.SH,国产软件,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880919.SH,粤港澳,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880920.SH,免疫治疗,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880921.SH,阿里概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880922.SH,钛金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880923.SH,赛马概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880926.SH,垃圾分类,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880929.SH,维生素,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880930.SH,汽车电子,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880933.SH,智能医疗,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880936.SH,猪肉,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880939.SH,无人机,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880940.SH,PPP概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880941.SH,跨境电商,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880942.SH,虚拟现实,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880943.SH,量子科技,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880944.SH,无人驾驶,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880945.SH,OLED概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880946.SH,区块链,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880947.SH,化债AMC,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880948.SH,人工智能,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880949.SH,智慧城市,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880950.SH,军民融合,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880951.SH,新能源车,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880952.SH,芯片,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880953.SH,租购同权,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880954.SH,大数据,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880955.SH,乡村振兴,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880956.SH,腾讯概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880957.SH,工业互联,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880958.SH,AI营销,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880959.SH,知识产权,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880960.SH,仿制药,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880961.SH,小米概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880962.SH,百度概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880963.SH,昨日断板,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880964.SH,特高压,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880965.SH,超清视频,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880966.SH,消费电子概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880967.SH,数字货币,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880968.SH,胎压监测,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880969.SH,无线耳机,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880970.SH,分拆上市预期,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880971.SH,降解塑料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880972.SH,雅江水电概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880973.SH,医美概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880974.SH,烟草概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880975.SH,有机硅概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880977.SH,BIPV概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880978.SH,DeepSeek概念,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880979.SH,科创成长层,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881002.SH,煤炭开采,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881005.SH,焦炭加工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881007.SH,油气开采,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881008.SH,油服工程,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881011.SH,石油化工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881016.SH,日用化工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881019.SH,化纤,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881026.SH,化学原料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881034.SH,化学制品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881044.SH,塑料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881051.SH,橡胶,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881055.SH,农用化工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881062.SH,冶钢原料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881065.SH,普钢,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881069.SH,特钢,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881071.SH,工业金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881075.SH,贵金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881078.SH,能源金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881082.SH,稀有金属,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881087.SH,金属新材料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881091.SH,水泥,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881094.SH,玻璃玻纤,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881097.SH,装饰建材,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881104.SH,非金属材料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881106.SH,种植业,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881111.SH,养殖业,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881115.SH,林业,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881116.SH,渔业,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881119.SH,饲料,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881123.SH,农产品加工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881127.SH,动物保健,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881130.SH,酿酒,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881136.SH,饮料乳品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881139.SH,调味品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881140.SH,休闲食品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881144.SH,食品加工,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881151.SH,纺织制造,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881157.SH,服装家纺,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881162.SH,饰品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881167.SH,造纸,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881171.SH,包装印刷,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881177.SH,家居用品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881180.SH,文娱用品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881184.SH,白色家电,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881187.SH,黑色家电,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881190.SH,小家电,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881194.SH,厨卫电器,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881198.SH,家电零部件,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881200.SH,一般零售,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881204.SH,商业物业经营,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881205.SH,专业连锁,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881206.SH,贸易,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881207.SH,电子商务,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881212.SH,乘用车,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881215.SH,商用车,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881218.SH,汽车零部件,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881224.SH,汽车服务,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881227.SH,摩托车及其他,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881231.SH,化学制药,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881234.SH,生物制品,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881241.SH,医疗器械,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881247.SH,医疗服务,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881252.SH,医药商业,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881256.SH,中药,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881257.SH,医疗美容,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881261.SH,电机制造,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881262.SH,电池,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881268.SH,电网设备,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881275.SH,光伏设备,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
881282.SH,风电设备,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
